ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
Sstr5	4.52480721050368	0.489169057673987	0.778409723266814	15.2924760322384	0.706879919506021	0.888652302734771	0.808697713598576	0.999853417475861	1	0.734172859260392	0.999816812954856	1
Ppp1r14d	-2.82341861488579	0.51280659987311	0.794920153468185	4.66989646053079	0.257231168023148	0.563769666533397	-6.43313215124456	0.0226220779212159	0.0846842233915921	-2.42884572526805	0.631982135003892	0.862669769697196
E130006D01Rik	-1.32089868172481	0.526118767290203	0.80219624794137	5.20238913401064	0.550742852771228	0.802376943012658	2.20274315410537	0.570027947693276	0.744935262174629	-5.79915638902279	0.197109640183667	0.522937921246605
Gja10	2.31378766443974	0.310198490625608	0.647272018266979	-6.01274738218959	0.673513030836487	0.870066693911304	-3.92710023360975	0.756540514979257	0.872460399659111	-2.8517501168407	0.812179115066575	0.941840012363686
Prss35	-12.9606272892982	0.0054856407159009	0.0617568805020785	-10.4613165924161	0.0270064100094845	0.171986955837239	-8.92882692056905	0.00419948181118224	0.0240573329886822	-15.6466351198759	0.00708601036434769	0.0780236814103963
Igfbpl1	-2.84766246144353	0.352970814100578	0.686089762379586	-3.49156350189731	0.334014396336686	0.63906667907019	-3.68085155591577	0.152660516981115	0.325701165362079	-2.89523408950472	0.41234774869902	0.724578394006588
BC016579	14.0395873497869	0.00853929135402442	0.083968879904438	-0.943163015787182	0.999753016007582	1	5.62905543939303	1	1	13.2245350525421	0.0123592673524892	0.110477507437305
Dcstamp	-2.17106552543508	0.455007485287069	0.756767136756	-0.573095013773789	0.773110241272668	0.922860311066322	-3.14452312291667	0.187968937319484	0.372928278009418	-10.1142391460213	0.0451704660830511	0.242748977655314
C130026L21Rik	-0.473972337948194	0.828290750600883	0.944529270440473	-6.01663913084025	0.411285636425562	0.703368775165227	3.34860765220382	0.408525957898137	0.608778321762774	-0.362459184256246	0.853194832242325	0.957521608749321
4930564B18Rik	-0.0294624097209369	0.966277666263354	0.991519586761215	-2.33988141696578	0.631187696052872	0.849141270832032	-3.71177005729408	0.0862821814860364	0.220015702864781	-4.69818287772693	0.11971231903602	0.408746166873955
Tmem190	7.50495399925134	0.0115775879922711	0.101892308115201	-0.802156944965662	0.418687790734378	0.708867447678996	0.412472616238142	0.72330891073963	0.852124173175864	2.68503036481266	0.442392516719012	0.745981074363086
6720468P15Rik	-2.27452771634234	0.501576683162793	0.787644803336148	1.68124185936792	0.661318604220226	0.864567900012681	3.44196788743273	0.231131932985127	0.425762798022802	-5.69981914521339	0.143480550173011	0.445042156350172
Gad1os	4.07444705241264	0.15796456413431	0.46701141886181	-1.41184137394269	0.668773335917001	0.867943537050753	3.10411103434718	0.104597266582285	0.251496478033763	4.32023270891945	0.178452019549604	0.499851368940901
Gm8179	6.64148836070582	0.0571311113255989	0.271624202242459	-2.59655237316317	0.37132816675501	0.67015426401168	5.38719352675016	0.0261801689888678	0.0944673749123529	4.69937639023376	0.235728805775991	0.569344997001333
4833403I15Rik	1.30158804945154	0.670806872455854	0.878920965366264	0.408589604769457	1	1	-4.10897176394353	0.156463873337167	0.331253217044145	-1.03325253890919	0.531937233162866	0.804738382027981
Sbk3	4.49325785841558	0.30924663161764	0.646133226657121	-5.17010339365115	0.275763947714036	0.582527919198272	1.12999855172593	0.734377746608578	0.859832897432844	4.82204761720895	0.341789841742708	0.671099585922643
Lrrc6	-2.16946919644347	0.474292733046519	0.770731325201508	-1.61748355542817	0.651894885062656	0.859078493724677	-2.1119261199948	0.365264885384979	0.569570486389199	-0.656159248564166	0.841859057047829	0.953553015534072
Rfpl4	0.208548912915501	0.783276356850324	0.926942077096687	-4.2161615486645	0.425641616332685	0.713635452749488	-4.43743549900698	0.113575530012942	0.265864690379372	1.19234306320041	0.917783014643183	0.97642565484965
Npy1r	-0.709417668920292	0.777364661608476	0.925131129093724	-3.17067504962013	0.565881033249423	0.810927626812413	-0.320292276569867	0.879626606977683	0.94652371637037	-2.60150185835507	0.502040376742234	0.787188926553261
